effort	AdjustedFunctionPoints	Inputcount	Outputcount	Enquirycount	Filecount	Interfacecount	Addedcount	Changedcount	Deletedcount
683	442	225	102	57	91	0	82	393	0
2521	68	21	12	19	15	0	11	56	0
494	90	96	0	0	0	0	96	0	0
486	72	23	25	7	17	0	55	17	0
4955	505	111	127	18	216	0	472	0	0
6138	450	112	145	59	105	0	356	58	7
1451	230	129	38	46	57	0	230	40	0
310	242	97	78	4	43	0	0	222	0
2445	106	21	76	6	0	0	7	96	0
237	31	10	14	0	7	0	4	27	0
3806	331	155	7	113	51	5	301	30	0
3711	1186	422	306	109	168	230	1235	0	0
2039	300	105	23	45	78	35	286	0	0
545	82	4	4	24	45	5	82	0	0
2430	191	44	60	15	49	25	159	34	0
2532	213	102	63	6	28	0	186	13	0
26408	4562	1098	1278	498	1059	0	3933	0	0
1244	141	44	33	44	17	0	5	133	0
562	187	23	65	17	91	5	201	0	0
499	194	70	16	0	45	47	46	132	0
2078	869	288	300	116	230	0	934	0	0
2326	125	51	9	33	22	0	20	84	11
2741	477	235	117	89	46	10	172	218	107
3546	717	716	13	10	24	0	51	712	0
140	25	0	28	0	0	0	0	28	0
1404	73	9	61	3	0	0	73	0	0
929	100	61	0	0	0	42	28	75	0
528	273	103	183	15	17	0	318	0	0
3748	587	108	119	94	203	0	524	0	0
4900	1437	920	154	41	203	0	1318	0	0
1853	97	3	101	3	0	7	108	6	0
5525	1883	396	540	405	392	95	1828	0	0
2890	224	110	25	6	49	5	195	0	0
1076	321	168	46	9	77	15	315	0	0
2387	99	6	4	19	59	10	98	0	0
1586	416	179	40	54	109	7	318	65	6
1065	119	46	5	31	17	0	77	22	0
997	71	21	21	4	14	5	25	40	0
212	120	60	48	12	0	0	12	108	0
1278	213	72	43	3	84	30	132	97	3
7060	1634	625	387	223	399	0	1634	0	0
702	275	184	11	48	7	0	7	243	0
903	458	202	66	75	115	0	458	0	0
6765	218	28	118	44	0	10	91	109	0
8227	498	107	132	7	77	122	445	0	0
334	143	54	65	0	14	0	11	122	0
2746	359	188	55	32	14	10	55	244	0
4164	722	163	0	202	237	20	622	0	0
6844	236	27	192	12	37	0	268	0	0
1661	239	39	70	18	62	55	244	0	0
6068	1882	711	589	218	442	0	1960	0	0
6063	291	188	29	0	69	37	323	0	0
665	328	124	71	61	66	0	322	0	0
544	264	126	7	50	84	0	267	0	0
893	270	54	42	53	91	30	270	0	0
352	32	0	7	12	0	10	29	0	0
273	171	78	42	0	59	15	194	0	0
3344	1382	353	245	7	581	253	1439	0	0
5814	843	158	276	45	244	30	753	0	0
404	98	45	5	19	28	0	94	3	0
5732	289	3	100	0	66	145	314	0	0
22920	1059	299	234	144	217	60	954	0	0
9409	724	331	12	189	164	0	530	142	24
285	40	10	22	0	17	0	49	0	0
1293	128	72	18	24	7	0	4	117	0
15165	1248	249	262	146	423	15	1095	0	0
3287	387	109	118	67	90	7	391	0	0
764	73	0	65	0	0	5	19	44	7
2194	151	22	0	68	47	0	32	105	0
2014	465	48	162	0	196	37	443	0	0
827	63	29	0	9	24	0	62	0	0
2508	226	88	70	19	28	0	92	106	7
201	115	76	11	28	0	0	10	105	0
5134	578	294	14	4	224	42	578	0	0
563	189	39	112	3	28	0	0	182	0
534	55	52	0	6	0	0	58	0	0
1038	85	12	44	0	24	0	12	68	0
43303	2143	219	657	3	485	437	1801	0	0
937	181	140	5	6	0	0	0	151	0
3133	520	181	160	9	55	25	430	0	0
1801	113	25	34	16	27	0	38	64	0
2639	264	85	17	26	133	0	157	98	6
2360	349	162	24	18	112	30	342	4	0
2520	229	88	5	0	17	131	241	0	0
1788	172	88	40	4	30	7	169	0	0
1238	323	108	57	53	74	31	323	0	0
442	89	15	28	17	7	30	24	73	0
3368	878	113	404	161	133	17	828	0	0
281	220	81	50	51	42	0	224	0	0
687	150	125	4	20	0	0	6	143	0
220	161	60	38	30	41	0	169	0	0
11388	804	345	334	0	236	42	957	0	0
9720	272	63	20	61	71	30	245	0	0
145	33	8	7	0	10	15	32	8	0
140	64	20	28	10	7	0	65	0	0
5242	322	78	100	67	54	0	179	106	14
2791	164	52	56	18	7	20	110	43	0
742	145	48	10	72	14	0	144	0	0
584	73	36	24	12	0	0	0	72	0
893	245	42	179	24	42	15	302	0	0
5639	406	209	36	125	20	0	102	288	0
5533	98	35	0	41	20	0	28	68	0
410	83	44	10	3	25	0	15	63	4
5483	557	280	173	39	141	0	633	0	0
1000	182	30	59	39	29	0	0	157	0
2552	820	460	98	199	175	0	685	212	35
198	105	96	9	0	0	0	21	84	0
2347	55	12	10	14	15	0	9	42	0
817	62	27	4	0	31	7	69	0	0
249	109	0	105	0	0	0	0	105	0
776	179	60	44	6	38	40	188	0	0
1644	128	49	15	25	31	0	120	0	0
13528	174	21	7	30	50	32	140	0	0
617	70	28	4	15	21	0	39	29	0
5490	302	169	38	10	35	0	77	175	0
2391	379	159	29	57	119	15	379	0	0
2064	129	33	0	39	24	25	121	0	0
1668	127	56	14	10	39	0	25	94	0
316	88	66	7	0	0	0	0	73	0
2836	215	58	62	46	51	0	82	135	0
14938	1406	541	70	290	335	90	1326	0	0
1049	85	21	67	3	0	15	22	59	25
1061	59	10	32	3	21	5	71	0	0
13919	358	139	0	89	70	40	338	0	0
3675	73	40	0	12	10	0	0	62	0
2542	597	189	96	78	239	7	609	0	0
2244	276	90	120	34	14	0	101	139	18
8046	728	181	165	15	84	167	330	27	255
3622	407	183	53	88	10	5	125	214	0
4945	59	0	55	0	0	0	11	11	33
1550	254	64	57	86	42	5	95	159	0
1313	98	36	32	9	17	0	45	42	7
3214	756	452	66	127	84	5	302	320	112
483	155	120	34	0	0	0	47	107	0
2306	544	125	104	107	133	0	107	362	0
720	75	23	0	30	27	14	94	0	0
1073	112	85	4	16	14	0	119	0	0
780	895	222	271	222	63	0	778	0	0
49034	3331	1049	519	399	595	360	2922	0	0
392	64	15	18	9	15	5	12	39	11
17607	1402	328	804	187	49	63	1431	0	0
812	38	6	14	12	0	0	26	6	0
591	337	128	21	86	77	25	337	0	0
812	73	0	0	67	0	10	39	38	0
564	64	12	28	17	7	0	47	17	0
8549	1703	186	463	0	516	316	1481	0	0
391	151	41	21	29	41	19	151	0	0
1817	66	27	14	6	17	0	42	22	0
6433	825	361	27	374	63	0	534	273	18
540	70	24	0	3	42	5	74	0	0
7443	754	301	130	204	90	0	213	512	0
8663	325	106	49	31	80	12	136	142	0
4622	168	84	7	45	40	22	198	0	0
915	226	99	50	43	63	5	260	0	0
25401	335	83	71	71	111	17	353	0	0
569	76	21	51	3	0	0	63	12	0
1512	221	31	133	0	45	5	53	161	0
1939	116	46	12	22	35	15	130	0	0
114	39	25	0	3	14	0	11	31	0
1532	170	75	12	23	39	0	108	41	0
4723	179	85	0	49	59	0	193	0	0
2971	166	126	0	38	0	0	0	164	0
12657	314	86	78	28	70	0	193	69	0
1035	126	46	7	18	49	15	135	0	0
5597	1390	379	377	133	182	170	1241	0	0
2988	129	30	59	10	39	0	94	44	0
3219	203	35	48	6	14	100	203	0	0
513	125	32	40	22	35	15	144	0	0
4630	758	116	312	132	30	58	648	0	0
4112	558	92	116	57	196	0	461	0	0
580	25	14	0	4	7	0	22	0	3
3023	223	108	16	9	133	0	266	0	0
10942	850	94	348	205	45	74	320	446	0
937	235	78	10	123	68	0	13	82	184
2515	58	15	0	19	22	0	26	30	0
889	97	42	10	15	14	0	23	58	0
2600	316	14	118	14	155	0	139	151	11
176	119	0	118	0	0	0	95	19	4
340	55	12	17	6	14	10	59	0	0
16357	1644	240	858	177	91	115	1481	0	0
3006	1193	196	667	149	115	54	516	485	180
1694	605	155	231	91	105	0	582	0	0
1134	389	120	94	77	63	10	198	166	0
27199	2373	410	615	342	454	317	2138	0	0
1186	132	56	0	27	38	7	128	0	0
1382	132	30	50	22	24	0	39	27	60
1035	151	21	24	63	21	15	144	0	0
1727	286	94	36	44	38	55	267	0	0
4504	305	73	87	39	63	10	272	0	0
4800	268	73	105	0	70	0	248	0	0
2553	110	36	15	0	49	10	110	0	0
16921	3963	1184	616	952	1091	42	3885	0	0
7459	397	83	252	16	58	0	409	0	0
3877	254	90	39	3	117	0	119	100	30
2088	134	73	0	22	14	0	33	76	0
4380	144	40	21	6	56	20	143	0	0
4695	266	101	70	26	56	5	258	0	0
3201	237	114	11	44	42	0	181	30	0
11490	1243	555	15	245	394	10	1219	0	0
752	666	138	233	124	105	5	605	0	0
29399	1810	349	423	377	457	10	1616	0	0
2299	88	56	7	15	7	0	9	76	0
883	62	19	8	9	15	0	51	0	0
8702	305	59	102	19	60	21	138	123	0
705	156	0	133	0	10	0	143	0	0
1434	100	24	76	3	7	0	40	70	0
2450	222	20	5	93	73	0	47	144	0
3500	506	54	161	43	173	80	511	0	0
1896	123	28	0	47	15	25	115	0	0
1393	258	186	40	19	10	0	0	255	0
2604	166	67	88	6	0	0	37	120	4
3638	181	45	39	38	42	5	169	0	0
3234	284	99	112	26	28	0	220	27	18
252	52	0	60	0	0	0	0	55	5
1028	102	72	0	18	0	7	0	97	0
595	128	4	7	90	27	0	0	128	0
691	58	26	29	3	0	0	22	36	0
7824	1196	626	108	56	413	5	1208	0	0
247	38	30	0	8	0	0	32	0	6
2738	84	33	0	21	27	0	61	20	0
1121	73	18	14	8	44	0	40	44	0
16042	449	352	12	12	52	0	0	428	0
2435	551	188	116	52	114	5	223	231	21
1440	194	48	47	28	27	35	185	0	0
6416	185	36	14	50	32	10	142	0	0
1213	134	43	0	77	36	0	156	0	0
10222	1241	575	45	319	301	0	1240	0	0
241	99	81	0	3	15	0	6	93	0
1200	1285	685	67	133	620	7	1512	0	0
419	86	18	8	0	28	32	86	0	0
1708	466	164	212	12	66	7	461	0	0
2108	77	30	0	20	22	0	7	65	0
3172	98	69	13	0	0	0	35	47	0
454	81	11	22	0	20	21	64	10	0
4086	694	61	164	168	145	60	598	0	0
2027	62	18	7	6	10	17	7	51	0
293	56	0	42	0	0	15	57	0	0
4301	753	289	13	0	363	7	672	0	0
566	59	30	11	3	21	0	65	0	0
1869	115	21	90	4	0	0	94	21	0
803	93	58	20	4	10	0	22	70	0
4019	71	30	15	12	7	5	0	69	0
4867	971	345	42	249	150	10	796	0	0
89	81	18	4	25	21	10	25	30	23
1126	106	6	33	19	0	55	113	0	0
1538	1168	516	240	176	314	10	1256	0	0
7263	1093	392	119	235	166	47	959	0	0
3853	67	10	18	31	0	0	0	59	0
28855	1256	270	121	450	90	50	981	0	0
1248	72	67	5	0	0	0	6	66	0
15039	777	287	159	38	147	45	676	0	0
4947	131	30	33	18	35	12	128	0	0
2019	134	78	0	0	63	0	141	0	0
5400	826	255	295	72	157	0	779	0	0
33028	3180	916	538	295	969	0	2718	0	0
5078	324	175	108	29	17	5	334	0	0
701	220	132	45	30	7	0	49	165	0
736	258	34	89	6	63	49	241	0	0
976	139	25	19	6	29	60	139	0	0
1167	274	70	123	57	28	30	308	0	0
3762	231	0	86	0	50	130	266	0	0
619	126	58	15	6	21	40	22	118	0
1155	550	226	104	48	101	40	519	0	0
1101	93	0	70	0	15	10	0	95	0
1210	1825	594	569	192	259	60	1674	0	0
2298	166	69	7	48	14	0	113	25	0
5876	500	229	31	130	60	0	170	227	53
2395	373	129	96	21	105	50	389	12	0
1050	330	179	26	64	110	0	379	0	0
1741	57	27	28	0	0	0	0	55	0
1579	127	61	0	20	44	0	13	98	14
3193	1362	579	291	171	378	0	1419	0	0
36046	1463	780	119	223	371	0	1493	0	0
3437	148	12	49	36	28	15	140	0	0
408	77	24	18	21	14	0	18	59	0
801	213	105	67	41	0	0	52	161	0
1729	368	252	27	28	0	0	49	258	0
763	360	122	98	54	62	0	336	0	0
1238	331	84	0	12	0	284	156	96	128
1249	285	48	187	15	35	25	310	0	0
13752	187	72	32	10	44	5	4	159	0
9296	502	120	32	89	83	120	444	0	0
329	303	0	266	0	0	25	0	291	0
3088	174	105	83	0	0	5	98	35	60
380	44	14	0	16	17	5	49	3	0
2333	387	88	221	37	34	0	18	362	0
2805	206	51	0	103	52	0	62	144	0
553	116	34	38	4	30	0	33	73	0
190	209	42	145	10	43	0	225	15	0
5482	903	336	134	158	148	100	387	303	186
3191	469	71	170	15	67	96	419	0	0
560	215	108	0	94	7	0	76	133	0
1062	347	145	110	34	0	0	0	289	0
80	82	38	9	20	14	0	29	52	0
7816	1694	391	469	385	210	85	1540	0	0
2002	81	24	22	20	10	0	64	4	8
323	49	12	19	18	0	0	49	0	0
1557	297	150	7	132	0	0	13	264	12
1417	280	161	91	0	10	0	262	0	0
1246	56	19	5	16	10	0	29	21	0
646	426	127	122	54	87	20	31	352	27
2310	499	262	42	60	90	0	155	299	0
992	60	9	32	12	7	0	60	0	0
7091	362	152	68	41	72	15	348	0	0
3431	363	169	23	115	42	0	82	267	0
1007	53	24	0	24	0	0	0	48	0
59809	4411	1514	461	540	1208	15	3738	0	0
634	83	10	27	32	14	0	44	39	0
54620	17518	9404	1221	0	2955	0	13580	0	0
871	199	82	92	13	10	0	20	100	77
19699	2171	534	319	323	87	0	209	984	70
1930	220	90	19	64	39	0	12	200	0
7505	1355	535	428	58	224	10	1255	0	0
300	374	170	4	88	126	10	398	0	0
349	62	51	0	0	10	5	66	0	0
2038	311	11	217	3	36	57	324	0	0
1861	297	125	23	77	72	0	233	64	0
601	132	32	15	13	31	45	136	0	0
667	135	60	17	0	70	0	0	147	0
3585	79	16	34	0	28	10	81	7	0
1916	155	75	28	10	29	0	14	128	0
3655	965	433	234	148	245	0	1060	0	0
5432	296	27	166	48	21	50	312	0	0
170	56	3	19	10	24	0	56	0	0
1823	206	88	23	31	35	0	73	104	0
3612	651	104	385	16	49	27	581	0	0
1984	146	46	0	50	41	0	44	93	0
1691	410	140	60	145	77	10	432	0	0
3646	284	49	83	75	51	5	80	183	0
3800	249	47	26	80	84	0	237	0	0
498	32	4	7	0	0	30	41	0	0
27000	1908	401	1216	155	107	10	1889	0	0
1694	253	56	149	0	24	24	76	177	0
2952	184	53	21	43	38	15	170	0	0
374	76	60	12	0	0	0	0	72	0
300	276	108	5	75	56	0	177	53	14
7575	3471	1327	257	534	995	42	3155	0	0
3322	380	67	103	77	98	20	365	0	0
5196	155	18	0	69	14	47	148	0	0
2853	171	78	42	0	59	15	194	0	0
1686	193	82	80	50	14	0	41	182	3
25054	1108	279	20	314	273	30	916	0	0
117	363	168	10	92	77	5	0	352	0
500	249	144	104	6	14	0	268	0	0
12551	769	265	195	235	52	0	178	557	12
399	137	54	42	30	7	0	97	36	0
784	579	215	81	109	112	0	517	0	0
2112	133	39	0	41	24	20	124	0	0
600	78	7	34	6	21	0	22	46	0
450	101	12	31	3	50	0	65	28	3
5800	1222	503	333	173	150	5	1164	0	0
2565	1093	486	277	126	147	5	788	253	0
3434	175	65	31	22	38	0	141	15	0
400	230	180	12	41	14	0	247	0	0
338	104	32	5	40	28	10	115	0	0
2835	177	24	79	6	42	60	211	0	0
594	62	33	0	12	10	0	22	33	0
1191	118	44	0	54	0	0	0	98	0
1017	487	146	238	53	24	12	45	428	0
789	177	40	12	27	38	60	177	0	0
640	140	43	68	3	57	0	171	0	0
500	230	81	49	37	58	0	225	0	0
601	236	102	84	52	0	0	238	0	0
16179	846	322	56	112	234	5	729	0	0
2446	139	18	21	30	70	0	139	0	0
338	51	12	27	0	0	7	7	39	0
1786	195	57	32	12	140	0	241	0	0
899	51	32	0	16	7	0	0	55	0
937	216	158	10	12	0	0	68	112	0
16560	1106	410	267	108	152	25	962	0	0
526	99	13	32	3	42	5	95	0	0
440	56	24	0	9	14	0	47	0	0
2185	213	123	91	28	0	0	36	206	0
